"Wardcode","hhSocialRented","JobSeekers","Noqual","Carsperhousehold"
"00BCGT",8.9,8.8,16.6,0.8
"00BCGU",14.3,3,15.2,1.1
"00BDFW",17.9,2.1,9.1,1
"00BDFX",7.6,1.5,6.6,1.1
"00BDFY",8,1.9,10.8,1.1
"00BDFZ",18.5,3.1,14.1,1
"00BDGA",13.8,1.7,12.5,1.2
"00BDGB",22.5,2.9,17.6,1.2
"00BDGC",15.1,1.8,10,1.1
"00BDGD",21.2,3.8,20.4,1.2
"00BDGE",9.9,1.7,7.5,1
"00BDGF",16,2.3,9.8,0.9
"00BDGG",16.9,2.1,10.2,0.9
"00BDGH",4,1.6,6.6,1.1
"00BDGJ",13.9,2,7.1,0.9
"00BDGK",6.6,1.3,6.4,1.1
"00BDGL",8.5,1.5,7.7,1.1
"00BDGM",6.2,1.5,6.2,0.9
"00BDGN",11.5,2.1,13.4,1.1
"00BDGP",9.8,2.8,17,1.2
"00BEGC",46.6,10.1,15.2,0.5
"00BEGD",63.5,11.6,19.3,0.4
"00BEGE",42.8,7.1,12.7,0.4
"00BEGF",43.3,6.4,11.3,0.4
"00BEGG",27.2,5.8,13.6,0.8
"00BEGH",20.3,4.6,12.3,0.7
"00BEGJ",53.9,7.4,20.8,0.4
"00BEGK",68.4,10.3,21.8,0.4
"00BEGL",45,7.6,15.7,0.4
"00BEGM",66.9,13.1,23.8,0.4
"00BEGN",54.2,7.8,19.4,0.4
"00BEGP",47.4,11.3,21.1,0.5
"00BEGQ",59.4,14.4,19.6,0.5
"00BEGR",25.3,5.8,13.8,0.7
"00BEGS",34.3,4.7,13.5,0.5
"00BEGT",45.6,5.8,17.5,0.5
"00BEGU",52.3,8.7,21.9,0.5
"00BEGW",37.9,6.8,12.4,0.6
"00BEGX",23.9,3.7,11.8,0.6
"00BEGY",41.5,9.7,17.5,0.5
"00BEGZ",15.5,2.8,9.4,1
"00BFGC",9,3.8,19.8,1.3
"00BFGD",35.9,6.2,21,1.3
"00BFGE",10,3,13.7,1.2
"00BFGF",7,3.3,15.4,1.2
"00BFGG",10.6,3,15.5,1.5
"00BFGH",2.5,1.9,14.6,1.5
"00BFGJ",3.6,1.7,18.6,1.4
"00BFGK",40.5,7.5,27.3,1
"00BFGL",3.7,2.8,20.5,1.4
"00BFGM",22.7,5.6,18.6,0.8
"00BFGN",11.1,3.8,21.6,1.1
"00BFGP",11.9,3.5,15.7,0.9
"00BFGQ",3.9,2.5,13.5,1.1
"00BFGR",14.7,4.1,22.2,1.1
"00BFGS",12.9,3.3,16.4,1.1
"00BFGT",16.4,4.2,18.7,1.1
"00BFGU",33.6,6.6,23.7,1
"00BFGW",6.4,2.4,17.2,1.2
"00BGFW",46,12.8,22.1,0.4
"00BGFX",44.9,10.9,21.4,0.3
"00BGFY",28.6,6.7,14.6,0.5
"00BGFZ",42.8,10.5,21.4,0.4
"00BGGA",39,8.8,20.3,0.5
"00BGGC",57.5,19.5,30.7,0.4
"00BGGD",41.2,11.7,21.9,0.5
"00BGGE",46,8.8,19.5,0.4
"00BGGF",52.9,14.8,23.3,0.4
"00BGGG",20.6,5.1,11.4,0.5
"00BGGH",54,11.7,26.9,0.4
"00BGGJ",20.3,4.3,12.3,0.6
"00BGGK",42.7,14.8,21.3,0.4
"00BGGL",31.9,11.2,17.2,0.3
"00BGGM",43.4,11.7,20.6,0.3
"00BGGN",32.9,9.3,17.1,0.3
"00BHFX",28.3,10.5,19.2,0.6
"00BHFY",38.5,13.2,19.3,0.5
"00BHFZ",15.7,8.2,18.7,0.9
"00BHGA",15.4,4.9,24.2,1.1
"00BHGB",14.7,4.8,23.5,1.3
"00BHGC",13.6,7.4,19.3,0.8
"00BHGD",9.1,7.1,15.7,0.6
"00BHGE",18.8,6.8,20,1.1
"00BHGF",24.7,7,26.2,1.1
"00BHGG",19,8.3,18.3,0.6
"00BHGH",33.6,11.5,23.7,0.7
"00BHGJ",27,11.5,19,0.6
"00BHGK",17.4,6.6,26.2,1.1
"00BHGL",18.4,11.9,23,0.6
"00BHGM",34.5,12.5,21.1,0.6
"00BHGN",15.4,7.5,15.1,0.7
"00BHGP",24.4,11.3,20.8,0.6
"00BHGQ",17.9,8.1,26.1,1.1
"00BHGR",21.4,9,20.4,0.6
"00BHGS",30.9,9.8,20.8,0.7
"00BJFZ",10.9,2.4,7.1,0.7
"00BJGA",16.1,2.9,9.1,0.7
"00BJGB",21.7,3.1,11.9,0.7
"00BJGC",11.3,2.2,7.9,0.7
"00BJGD",15.2,2.4,8.5,0.7
"00BJGE",16.8,6.5,15.5,0.7
"00BJGF",17.8,5.2,14.7,0.6
"00BJGG",47,8.2,17.9,0.4
"00BJGH",13.1,2.7,8.9,0.7
"00BJGJ",13.6,2.3,6.7,0.8
"00BJGK",30.7,4.6,11.9,0.5
"00BJGL",46,8.3,18.2,0.6
"00BJGM",21.8,4.8,11.4,0.7
"00BJGN",22.6,2.8,10.9,0.6
"00BJGP",14.7,2.8,10.1,0.7
"00BJGQ",7.5,1.3,6.3,0.8
"00BJGR",18,5.7,14.4,0.6
"00BJGS",12.6,2.1,11,1
"00BJGT",23.6,4.7,14.3,0.8
"00BJGU",22.9,3.8,14.5,0.8
"00BKGA",9.1,2.4,10,0.7
"00BKGB",20.4,4.4,7.5,0.4
"00BKGC",7.8,3.3,8.2,0.4
"00BKGD",49.8,6.8,19.1,0.4
"00BKGE",55.8,12.4,28.1,0.3
"00BKGF",43.4,10.4,18.4,0.4
