X,Wardname,Wardname_rn,Population2011Census,GeneralFertilityRate,Malelifeexpectancy,Femalelifeexpectancy,Children,Greaterthan65,nonwhite,NotBorninUK,NotEnglishspeaking,Wardname_rn
82,Haringey - Muswell Hill,Muswell Hill,10784,56.3,77.4,81.5,17.87833828,12.1,16.2,26.1,7,Muswell Hill
83,Croydon - New Addington,New Addington,10801,72.7,74.4,80.5,25.80316637,12.7,23.7,13.9,3,New Addington
84,Richmond upon Thames - South Richmond,South Richmond,10820,55.2,78.7,83.6,16.55268022,14,13.1,33,8.5,South Richmond
85,Bexley - Sidcup,Sidcup,10844,43.7,76.4,78.8,15.81519734,20,10.1,10.6,2.2,Sidcup
86,Bexley - East Wickham,East Wickham,10858,71.2,79,84,18.91692761,18,16.9,13.4,3.2,East Wickham
87,Bexley - Danson Park,Danson Park,10864,53.6,79.8,84.3,18.50147275,17.5,16.2,13.2,3.1,Danson Park
88,Camden - Bloomsbury,Bloomsbury,10892,22.1,77.2,81.6,7.133676093,10,40.4,51.2,19.5,Bloomsbury
89,Kingston upon Thames - Grove,Grove,10955,52.9,77.7,88.8,12.86170698,9.4,23.2,31.4,11.2,Grove
90,Camden - Highgate,Highgate,10955,45.9,82.3,84.1,17.81834779,15.2,20.2,27.1,5.5,Highgate
91,Bexley - Christchurch,Christchurch,10965,61.9,77.8,80.9,18.10305518,18.3,13.4,11.5,2.3,Christchurch
92,Sutton - Sutton Central,Sutton Central,10993,78.5,75.7,80.3,18.75739107,11.5,24.1,26.9,99.7,Sutton Central
93,Waltham Forest - Hatch Lane,Hatch Lane,11058,73.8,78.6,82.9,20.29300054,16.1,22.2,16.5,4.4,Hatch Lane
94,Hackney - Brownswood,Brownswood,11091,41,77.9,83.9,14.43512758,6.2,38.2,42.7,18.6,Brownswood
95,Hackney - King's Park,King's Park,11098,66.2,77.2,85.7,25.5541539,9.2,62,43.3,13.4,King's Park
96,Harrow - Rayners Lane,Rayners Lane,11124,64.9,82.1,85,20.63106796,13.9,65.5,48,17.6,Rayners Lane
