,Wardname,Population2011Census,GeneralFertilityRate,Malelifeexpectancy,Femalelifeexpectancy,Children,Greaterthan65,nonwhite,NotBorninUK,NotEnglishspeaking
78,Harrow - Hatch End,10693,55.3,82.0,84.3,18.685121107266397,19.8,43.3,33.0,9.1
79,Merton - Colliers Wood,10712,62.9,77.6,83.3,14.189693801344301,8.1,40.1,47.2,16.3
80,Sutton - Stonecot,10712,45.6,78.7,85.2,20.5843913368185,14.5,20.9,18.1,5.2
81,Waltham Forest - Endlebury,10730,54.9,80.4,84.4,18.611369990680302,16.9,22.4,17.5,3.8
82,Haringey - Muswell Hill,10784,56.3,77.4,81.5,17.8783382789318,12.1,16.2,26.1,7.0
83,Croydon - New Addington,10801,72.7,74.4,80.5,25.803166373483897,12.7,23.7,13.9,3.0
84,Richmond upon Thames - South Richmond,10820,55.2,78.7,83.6,16.5526802218115,14.0,13.1,33.0,8.5
85,Bexley - Sidcup,10844,43.7,76.4,78.8,15.815197344153399,20.0,10.1,10.6,2.2
86,Bexley - East Wickham,10858,71.2,79.0,84.0,18.916927610978103,18.0,16.9,13.4,3.2
87,Bexley - Danson Park,10864,53.6,79.8,84.3,18.501472754050102,17.5,16.2,13.2,3.1
88,Camden - Bloomsbury,10892,22.1,77.2,81.6,7.133676092544991,10.0,40.4,51.2,19.5
89,Kingston upon Thames - Grove,10955,52.9,77.7,88.8,12.8617069831127,9.4,23.2,31.4,11.2
90,Camden - Highgate,10955,45.9,82.3,84.1,17.8183477863989,15.2,20.2,27.1,5.5
91,Bexley - Christchurch,10965,61.9,77.8,80.9,18.1030551755586,18.3,13.4,11.5,2.3
92,Sutton - Sutton Central,10993,78.5,75.7,80.3,18.7573910670427,11.5,24.1,26.9,99.7
93,Waltham Forest - Hatch Lane,11058,73.8,78.6,82.9,20.2930005425936,16.1,22.2,16.5,4.4
94,Hackney - Brownswood,11091,41.0,77.9,83.9,14.435127580921499,6.2,38.2,42.7,18.6
95,Hackney - King's Park,11098,66.2,77.2,85.7,25.5541539016039,9.2,62.0,43.3,13.4
96,Harrow - Rayners Lane,11124,64.9,82.1,85.0,20.631067961164998,13.9,65.5,48.0,17.6
97,Bexley - Colyers,11128,85.7,78.2,80.2,22.1872753414809,14.5,17.7,12.3,2.0
98,Harrow - Headstone South,11135,73.0,80.0,89.5,20.3682083520431,12.0,56.5,44.2,15.9
99,Harrow - Kenton East,11138,60.4,78.2,85.9,18.737654875202,12.4,73.4,57.1,24.7
