,Wardname,Population2011Census,GeneralFertilityRate,Malelifeexpectancy,Femalelifeexpectancy,Children,Greaterthan65,nonwhite,NotBorninUK,NotEnglishspeaking,Wardcode,Crimerate,Openspace,hhSocialRented,JobSeekers,Noqual,Carsperhousehold
139,Hounslow - Feltham North,11563,84.3,73.5,77.3,19.9688662111909,13.6,38.9,35.7,14.1,00ATGD,110.8,36.4,22.3,4.6,26.1,1.1
140,Bexley - North End,11566,89.6,74.0,79.0,26.8026975618191,10.6,27.0,18.8,3.3,00ADGR,89.9,65.3,37.4,8.9,28.8,0.9
141,Hillingdon - Northwood Hills,11578,76.7,78.9,86.0,18.863361547763,17.5,33.3,27.9,7.1,00ASGU,59.7,33.3,15.5,2.6,16.6,1.3
142,Sutton - Wandle Valley,11630,79.3,77.3,84.6,24.067067927773,9.0,24.8,19.8,5.7,00BFGU,69.2,40.5,33.6,6.6,23.7,1.0
143,Haringey - Highgate,11632,50.0,79.5,85.4,15.362792297111401,11.7,18.9,31.5,8.2,00APGG,77.9,42.4,11.1,3.3,6.4,0.8
144,Islington - Highbury East,11634,64.2,76.7,80.5,17.0190820010315,9.7,23.5,30.9,9.3,00AUGD,96.6,21.6,31.1,4.7,13.4,0.5
145,Harrow - Edgware,11653,91.0,79.6,83.9,20.2866214708659,11.4,65.3,56.5,24.8,00AQGA,63.9,15.0,10.3,4.3,22.5,1.1
146,Sutton - Worcester Park,11655,83.0,81.1,83.7,20.7893607893608,13.4,20.0,21.5,6.1,00BFGW,42.3,22.3,6.4,2.4,17.2,1.2
147,Redbridge - Bridge,11658,50.0,79.4,83.6,20.029164522216497,13.4,28.1,21.6,6.7,00ASGK,43.1,17.7,7.3,2.4,17.2,1.4
148,Redbridge - Bridge,11658,50.0,79.4,83.6,20.029164522216497,13.4,28.1,21.6,6.7,00BCGA,62.8,36.0,13.8,4.5,19.9,1.1
149,Hillingdon - Cavendish,11658,59.2,80.6,84.0,20.6210327671985,15.7,19.7,16.7,3.7,00ASGK,43.1,17.7,7.3,2.4,17.2,1.4
