,Wardname,Population2011Census,GeneralFertilityRate,Malelifeexpectancy,Femalelifeexpectancy,Children,Greaterthan65,nonwhite,NotBorninUK,NotEnglishspeaking,Wardcode,Crimerate,Openspace,hhSocialRented,JobSeekers,Noqual,Carsperhousehold
328,Lewisham - Blackheath,14039,56.8,77.4,82.4,18.3845003205357,10.9,30.2,29.3,7.4,00AMGM,84.4,23.0,32.0,11.4,18.5,0.5
329,Lewisham - Blackheath,14039,56.8,77.4,82.4,18.3845003205357,10.9,30.2,29.3,7.4,00AZGE,106.9,34.6,28.8,4.7,13.2,0.7
330,Greenwich - Peninsula,14051,68.2,74.6,85.1,16.9240623443171,8.3,30.6,33.0,10.4,00AKGL,61.8,15.3,10.7,6.8,16.7,0.8
331,Greenwich - Peninsula,14051,68.2,74.6,85.1,16.9240623443171,8.3,30.6,33.0,10.4,00ALHB,167.4,33.7,30.6,4.1,15.0,0.6
332,Enfield - Bowes,14051,85.4,78.5,83.8,17.2443242473845,10.6,38.6,47.5,23.3,00AKGL,61.8,15.3,10.7,6.8,16.7,0.8
333,Enfield - Bowes,14051,85.4,78.5,83.8,17.2443242473845,10.6,38.6,47.5,23.3,00ALHB,167.4,33.7,30.6,4.1,15.0,0.6
334,Waltham Forest - Chapel End,14086,103.4,75.8,86.7,24.116143688769004,8.0,48.5,36.9,14.1,00BHFZ,95.7,31.2,15.7,8.2,18.7,0.9
335,Hillingdon - Townfield,14106,94.6,74.8,79.4,23.1958032043102,9.8,62.9,44.7,18.1,00ASGY,147.8,30.8,30.1,7.9,24.7,1.0
336,Redbridge - Valentines,14123,99.7,75.9,86.4,24.031721305671603,8.7,77.6,50.3,21.0,00BCGT,146.7,13.8,8.9,8.8,16.6,0.8
337,Waltham Forest - High Street,14127,97.4,78.4,81.7,19.5087421250088,7.6,50.7,44.4,18.0,00BHGG,209.2,56.4,19.0,8.3,18.3,0.6
338,Southwark - Livesey,14129,80.0,77.0,81.5,23.568546960152897,9.1,62.2,44.3,11.9,00BEGM,126.4,4.5,66.9,13.1,23.8,0.4
339,Southwark - Newington,14136,48.1,77.5,83.2,17.282116581777,8.5,48.2,42.5,13.6,00BEGN,97.6,3.8,54.2,7.8,19.4,0.4
340,Lambeth - Vassall,14143,47.1,74.3,82.1,18.0159796365693,7.2,52.7,40.0,12.1,00AYGW,100.4,16.8,53.2,11.0,16.0,0.4
341,Wandsworth - Shaftesbury,14160,51.0,80.8,84.9,12.718926553672302,7.7,18.8,29.0,5.7,00BJGN,84.9,2.4,22.6,2.8,10.9,0.6
342,Wandsworth - Shaftesbury,14160,51.0,80.8,84.9,12.718926553672302,7.7,18.8,29.0,5.7,00ANGB,73.1,3.6,34.8,6.7,13.7,0.5
343,Tower Hamlets - Bethnal Green South,14166,51.0,77.1,87.3,19.709162784131,5.3,64.3,45.5,23.1,00BGFX,128.5,16.9,44.9,10.9,21.4,0.3
344,Waltham Forest - Leyton,14184,83.6,79.0,80.7,24.280879864636198,7.4,63.5,48.8,20.8,00BHGM,104.6,27.1,34.5,12.5,21.1,0.6
345,Ealing - Hobbayne,14229,77.7,77.5,86.0,22.6017288635884,11.3,37.7,40.7,17.2,00AJGN,65.4,36.1,25.2,5.6,18.2,0.9
346,Lewisham - Whitefoot,14249,71.4,77.5,82.7,25.791283598849002,11.3,50.5,29.5,6.8,00AZGX,95.8,27.9,34.5,8.8,25.9,0.8
347,Redbridge - Chadwell,14257,90.5,77.9,81.8,24.668583853545602,10.3,56.9,31.6,9.9,00BCGB,67.1,4.8,10.0,6.5,18.5,1.0
348,Lambeth - Prince's,14262,65.9,74.5,81.5,16.8980507642687,9.3,43.4,38.5,12.4,00AYGL,142.1,20.7,47.1,8.9,16.3,0.4
349,Lambeth - Streatham Hill,14263,57.1,76.4,79.9,18.3201290051181,8.4,37.9,37.8,12.4,00AYGP,81.5,14.2,24.9,6.5,13.5,0.6
350,Croydon - Shirley,14296,71.4,83.0,85.4,20.628147733631803,16.7,30.9,19.7,3.9,00AHGY,39.6,16.0,18.5,4.7,19.1,1.2
351,Greenwich - Kidbrooke with Hornfair,14300,73.2,76.2,84.1,20.3216783216783,11.9,33.6,27.3,7.6,00ALGZ,72.7,28.2,32.1,6.8,23.7,0.9
352,Lambeth - Streatham South,14336,69.3,81.3,84.5,20.6682477678571,10.9,52.5,44.5,15.8,00AYGQ,69.7,26.6,15.5,7.6,17.0,0.8
353,Ealing - Greenford Green,14349,94.4,79.0,84.0,20.9631333193951,11.9,49.0,50.1,21.9,00AJGL,87.0,22.6,9.7,4.8,17.8,1.1
354,Hounslow - Brentford,14353,62.7,76.7,85.7,17.9126315056086,9.9,33.9,38.3,15.0,00ATFZ,84.3,42.9,37.7,3.9,17.2,0.8
355,Enfield - Jubilee,14355,92.0,77.2,82.2,23.7965865552072,11.9,50.9,40.8,16.9,00AKGX,61.4,60.6,15.5,9.1,28.5,1.0
356,Islington - Finsbury Park,14358,46.8,74.2,78.8,18.4148210057111,8.5,42.9,41.6,17.5,00AUGC,182.9,15.9,43.4,9.6,20.6,0.3
357,Hillingdon - West Drayton,14370,77.9,75.3,81.9,22.7557411273486,11.5,33.5,27.6,9.2,00ASHB,81.8,32.0,26.4,5.3,24.3,1.1
358,Enfield - Turkey Street,14377,74.1,76.2,81.4,25.512972108228396,11.5,37.9,31.0,14.1,00AKHF,74.6,30.5,26.3,9.5,30.2,1.0
359,Greenwich - Charlton,14385,89.3,74.1,79.9,21.8143899895725,10.7,36.2,31.0,9.4,00ALGR,66.2,31.6,41.1,7.4,20.8,0.7
360,Southwark - Riverside,14390,50.0,78.0,80.8,12.4461431549687,6.4,31.2,40.5,12.7,00BEGS,147.9,23.2,34.3,4.7,13.5,0.5
361,Enfield - Southgate,14454,67.0,81.1,85.4,18.8390756883908,14.1,31.6,33.2,11.7,00AKHC,59.3,27.2,7.4,4.6,16.1,1.1
362,Haringey - Bruce Grove,14483,83.9,75.2,83.0,22.460816129255,8.4,55.9,55.5,23.5,00APGC,111.6,4.9,28.2,15.3,22.5,0.5
363,Enfield - Southbury,14506,87.5,79.6,81.3,24.982765752102605,9.5,36.2,30.2,12.0,00AKHB,103.3,29.3,24.0,8.1,24.6,0.9
364,Haringey - Woodside,14514,59.0,74.0,84.4,19.1883698498002,8.5,43.2,54.2,25.6,00APGU,99.2,26.8,23.2,9.2,20.0,0.6
365,Lewisham - Ladywell,14515,63.6,74.5,79.2,18.325869789872502,8.9,45.4,35.4,9.4,00AZGN,90.7,25.6,23.6,6.1,12.8,0.7
366,Ealing - Elthorne,14539,71.4,74.8,85.5,19.698741316459202,9.7,34.9,40.6,16.9,00AJGJ,103.8,34.2,20.2,5.9,15.1,0.8
367,Redbridge - Aldborough,14544,69.2,77.4,82.2,23.0060506050605,12.4,61.3,38.4,12.8,00BCFY,100.4,76.8,11.3,5.3,19.6,1.1
368,Ealing - Cleveland,14558,59.1,76.8,85.9,21.706278334936105,11.9,36.9,39.6,15.1,00AJGD,52.3,34.8,21.5,5.6,13.1,0.9
369,Lewisham - Downham,14567,66.7,74.3,81.8,24.7065284547264,12.7,41.7,24.8,6.2,00AZGJ,90.4,30.1,40.9,9.9,30.2,0.7
370,Lewisham - Lee Green,14573,78.0,77.1,81.2,19.309682289164897,10.9,33.7,28.9,8.1,00AZGP,84.4,11.9,21.2,6.3,14.6,0.7
371,Wandsworth - Bedford,14575,51.1,78.2,82.6,14.6415094339623,7.5,27.6,30.3,8.3,00BJGA,62.2,47.9,16.1,2.9,9.1,0.7
372,Ealing - Southall Green,14579,111.7,75.9,87.1,22.326634199876498,8.2,91.4,63.3,36.7,00AJGZ,102.7,16.3,13.6,10.9,23.6,0.9
373,Haringey - Tottenham Green,14580,64.6,72.5,82.8,20.418381344307303,8.2,52.8,55.0,25.8,00APGQ,151.9,10.5,39.2,12.7,22.7,0.4
374,Waltham Forest - Grove Green,14604,80.5,74.4,80.8,19.042728019720602,7.1,53.2,53.0,21.2,00BHGD,69.1,4.3,9.1,7.1,15.7,0.6
375,Croydon - Purley,14607,79.6,79.6,83.6,19.4632710344355,15.0,31.6,23.1,5.0,00AHGT,81.7,3.8,7.6,4.4,12.9,1.2
376,Wandsworth - Fairfield,14613,46.2,77.2,80.3,12.6736467528913,6.7,22.1,32.5,7.1,00BJGD,83.7,11.2,15.2,2.4,8.5,0.7
377,Islington - Bunhill,14639,44.5,75.5,82.1,13.4503722931894,7.9,34.5,41.9,16.6,00AUFY,179.7,13.5,47.3,6.5,15.8,0.3
378,Lewisham - Grove Park,14648,66.4,77.2,82.2,20.8287820862916,12.6,37.5,26.9,7.0,00AZGM,69.9,21.6,26.7,7.1,22.5,0.9
379,Redbridge - Clementswood,14666,93.1,76.7,81.2,26.639847265784802,7.4,84.2,55.6,25.1,00BCGE,183.3,7.7,10.7,9.1,18.6,0.8
380,Wandsworth - Nightingale,14679,63.3,75.3,79.2,16.2068260780707,9.5,21.4,27.7,6.7,00BJGH,63.7,9.5,13.1,2.7,8.9,0.7
381,Havering - Gooshays,14692,68.6,76.3,80.4,23.2371358562483,12.9,12.8,10.7,2.6,00ARGG,86.2,68.4,41.9,9.3,34.2,1.0
382,Ealing - North Greenford,14713,87.7,79.8,87.4,20.288180520628,11.4,56.4,51.4,22.1,00AJGR,69.6,53.3,8.3,3.8,16.9,1.2
383,Southwark - Peckham,14720,89.0,75.8,77.8,24.2663043478261,6.2,70.8,47.6,12.3,00BEGQ,126.2,7.0,59.4,14.4,19.6,0.5
384,Croydon - Ashburton,14721,60.0,78.5,82.3,21.7784117926771,13.2,36.7,22.3,4.8,00AHGF,62.7,22.2,21.5,5.4,19.5,1.1
385,Brent - Wembley Central,14727,88.1,76.8,88.2,18.2114483601548,9.7,86.0,68.5,32.9,00AMGE,198.0,17.1,38.9,12.0,15.9,0.4
386,Brent - Wembley Central,14727,88.1,76.8,88.2,18.2114483601548,9.7,86.0,68.5,32.9,00AEHE,156.3,20.1,15.6,6.0,20.7,0.8
387,Brent - Wembley Central,14727,88.1,76.8,88.2,18.2114483601548,9.7,86.0,68.5,32.9,00ATGM,97.3,48.7,20.0,6.0,15.7,0.9
388,Hounslow - Hounslow Heath,14727,97.2,76.0,87.6,23.114008284104,7.8,72.6,58.0,27.7,00AMGE,198.0,17.1,38.9,12.0,15.9,0.4
389,Hounslow - Hounslow Heath,14727,97.2,76.0,87.6,23.114008284104,7.8,72.6,58.0,27.7,00AEHE,156.3,20.1,15.6,6.0,20.7,0.8
390,Hounslow - Hounslow Heath,14727,97.2,76.0,87.6,23.114008284104,7.8,72.6,58.0,27.7,00ATGM,97.3,48.7,20.0,6.0,15.7,0.9
391,Hackney - Dalston,14727,57.2,80.9,79.8,16.4595640660012,6.2,44.5,40.8,14.0,00AMGE,198.0,17.1,38.9,12.0,15.9,0.4
392,Hackney - Dalston,14727,57.2,80.9,79.8,16.4595640660012,6.2,44.5,40.8,14.0,00AEHE,156.3,20.1,15.6,6.0,20.7,0.8
393,Hackney - Dalston,14727,57.2,80.9,79.8,16.4595640660012,6.2,44.5,40.8,14.0,00ATGM,97.3,48.7,20.0,6.0,15.7,0.9
394,Wandsworth - West Putney,14742,50.4,75.6,79.9,17.799484466151103,13.3,22.9,34.4,9.5,00BJGU,51.6,20.5,22.9,3.8,14.5,0.8
395,Wandsworth - Balham,14751,59.5,79.3,84.4,15.687072062911,7.8,19.4,28.5,6.5,00BJFZ,90.3,11.7,10.9,2.4,7.1,0.7
396,Lambeth - Knight's Hill,14763,73.7,74.4,79.4,23.2473074578338,9.0,47.7,35.3,11.6,00AYGH,90.8,13.3,30.6,9.1,15.9,0.6
397,Hillingdon - Pinkwell,14767,94.4,74.5,86.2,26.335748628699104,8.6,68.2,45.3,18.5,00ASGW,97.8,26.9,20.4,6.0,22.0,1.2
398,Lewisham - Bellingham,14775,76.6,75.2,79.1,25.1573604060914,10.2,51.3,29.6,6.2,00AZGD,103.1,46.7,44.0,9.5,25.4,0.7
399,Tower Hamlets - Bow East,14781,64.2,71.3,80.8,17.4616061159597,7.4,39.9,30.9,10.9,00BGFZ,113.1,30.3,42.8,10.5,21.4,0.4
400,Newham - Canning Town North,14810,72.4,74.6,75.9,22.9574611748818,7.7,59.2,47.9,18.6,00BBGD,125.7,21.7,49.3,14.4,25.7,0.5
401,Bromley - Chislehurst,14831,59.7,81.2,83.0,17.982604005124397,21.5,12.0,12.7,1.9,00AFGJ,70.1,60.0,7.1,2.9,15.8,1.4
402,Wandsworth - Thamesfield,14842,63.7,81.4,82.9,15.1731572564344,8.8,12.3,31.4,5.8,00BJGQ,104.9,34.5,7.5,1.3,6.3,0.8
403,Newham - Wall End,14846,89.0,78.6,80.3,25.239121648929,6.5,82.2,59.8,29.7,00BBGW,63.7,33.9,17.7,8.4,19.6,0.7
404,Lewisham - Forest Hill,14854,74.1,76.5,80.4,21.1188905345362,10.0,38.2,31.1,8.2,00AZGL,78.2,22.2,26.4,7.6,13.9,0.7
405,Tower Hamlets - Whitechapel,14862,66.9,73.6,83.2,16.3706096083973,5.6,60.2,48.8,24.8,00BGGN,146.5,5.4,32.9,9.3,17.1,0.3
406,Ealing - South Acton,14873,62.9,76.4,79.8,20.453170174141103,11.1,43.5,50.5,23.4,00AJGX,106.8,17.5,33.9,7.3,16.2,0.7
407,Bromley - West Wickham,14884,52.2,80.9,84.7,19.8535339962376,19.7,10.6,9.7,1.3,00AFHB,40.8,32.6,4.4,2.2,15.2,1.4
408,Enfield - Town,14906,61.6,79.9,83.8,20.1730846638937,14.9,18.0,17.1,4.4,00AKHE,54.5,16.0,6.1,3.8,17.4,1.2
409,Enfield - Town,14906,61.6,79.9,83.8,20.1730846638937,14.9,18.0,17.1,4.4,00AYGR,81.4,18.3,20.8,6.2,13.9,0.6
410,Lambeth - Streatham Wells,14906,68.6,75.4,77.7,19.327787468133604,8.3,43.1,41.2,14.2,00AKHE,54.5,16.0,6.1,3.8,17.4,1.2
411,Lambeth - Streatham Wells,14906,68.6,75.4,77.7,19.327787468133604,8.3,43.1,41.2,14.2,00AYGR,81.4,18.3,20.8,6.2,13.9,0.6
412,Brent - Kensal Green,14915,94.6,76.7,83.1,19.5507877975193,9.0,52.3,50.2,21.9,00AEGR,141.0,6.9,26.7,13.3,19.7,0.6
413,Lewisham - Rushey Green,14916,78.2,75.2,80.1,22.036739072137298,9.0,59.1,38.0,10.2,00AZGT,140.6,24.1,26.9,9.2,18.0,0.6
414,Lewisham - Crofton Park,14937,84.4,78.5,86.4,19.5353819374707,9.1,39.6,30.1,7.0,00AZGH,70.7,20.7,16.8,5.9,15.3,0.7
415,Wandsworth - Northcote,14940,72.9,80.1,81.1,19.0361445783133,6.0,14.9,28.9,5.7,00BJGJ,112.9,34.0,13.6,2.3,6.7,0.8
416,Southwark - Cathedrals,14941,26.6,75.0,93.3,10.6887089217589,7.4,38.4,40.0,10.4,00BEGE,208.6,15.3,42.8,7.1,12.7,0.4
417,Brent - Sudbury,14950,115.0,80.5,84.8,20.6622073578595,10.5,77.3,62.2,28.4,00AEHB,82.5,34.6,15.0,6.1,18.1,0.9
418,Havering - Brooklands,14957,67.1,73.8,77.7,21.0670589021863,13.5,22.3,17.4,4.4,00ARGC,76.8,44.9,17.4,5.0,24.9,1.0
419,Croydon - Kenley,14966,76.0,78.0,80.7,20.7603902178271,14.9,23.2,17.9,3.0,00AHGQ,39.8,39.6,11.4,4.0,14.6,1.3
420,Islington - Holloway,14983,35.0,72.8,81.1,15.5776546752987,8.2,36.1,39.6,14.9,00AUGG,79.4,16.9,46.5,6.2,18.8,0.4
421,Wandsworth - East Putney,15022,45.7,80.7,85.1,13.273864998002901,11.0,20.6,39.4,9.3,00BJGC,49.0,11.0,11.3,2.2,7.9,0.7
422,Islington - Highbury West,15030,54.4,75.3,85.1,15.189620758483,6.7,32.1,34.5,12.8,00AUGE,86.8,10.5,33.5,6.0,12.6,0.4
423,Southwark - Camberwell Green,15032,69.6,74.4,85.1,21.1881319850985,7.4,61.1,46.8,13.4,00BEGD,128.1,1.6,63.5,11.6,19.3,0.4
424,Southwark - Camberwell Green,15032,69.6,74.4,85.1,21.1881319850985,7.4,61.1,46.8,13.4,00AYGE,172.6,10.2,37.4,6.6,13.3,0.4
425,Lambeth - Ferndale,15032,37.5,74.8,82.6,12.5598722724854,6.2,40.4,41.7,11.8,00BEGD,128.1,1.6,63.5,11.6,19.3,0.4
426,Lambeth - Ferndale,15032,37.5,74.8,82.6,12.5598722724854,6.2,40.4,41.7,11.8,00AYGE,172.6,10.2,37.4,6.6,13.3,0.4
427,Hillingdon - Botwell,15034,94.5,75.6,82.0,24.9634162564853,9.1,60.2,42.7,17.9,00ASGH,111.0,32.2,25.2,7.6,24.0,1.1
428,Brent - Dudden Hill,15059,76.0,85.3,88.1,20.399760940301498,9.7,55.9,56.2,23.8,00AEGN,112.1,11.5,19.9,9.1,19.8,0.8
429,Haringey - Tottenham Hale,15064,69.1,75.7,78.3,23.645778013807803,7.8,57.4,53.5,22.3,00APGR,133.3,29.0,39.2,11.8,24.7,0.5
430,Bromley - Bickley,15098,57.7,78.3,81.5,19.2210888859452,19.8,14.5,15.7,2.7,00AFGD,45.3,22.1,7.0,2.4,14.5,1.4
431,Brent - Tokyngton,15105,99.6,80.5,86.6,18.417742469381,11.3,76.3,62.9,26.6,00AEHC,132.9,19.7,12.0,4.7,19.4,0.9
432,Lambeth - Oval,15106,42.1,77.1,79.8,13.9944392956441,7.2,36.9,42.6,15.0,00AYGK,146.2,24.9,34.8,6.0,13.0,0.4
433,Lambeth - Herne Hill,15107,67.3,74.3,82.8,18.3689680280665,7.2,39.6,35.3,10.8,00AYGG,133.6,37.9,31.8,8.5,12.2,0.5
434,Tower Hamlets - Shadwell,15110,78.3,81.0,95.2,22.3891462607545,6.3,64.4,45.1,23.2,00BGGK,77.9,24.2,42.7,14.8,21.3,0.4
435,Newham - Green Street West,15113,86.8,80.7,86.6,21.015020181300898,7.4,89.3,61.1,32.7,00BBGN,85.5,3.2,13.5,9.7,21.6,0.7
436,Newham - Green Street West,15113,86.8,80.7,86.6,21.015020181300898,7.4,89.3,61.1,32.7,00AFGF,52.8,59.3,15.7,4.3,20.5,1.3
437,Ealing - Northolt West End,15121,102.2,78.6,86.0,25.553865485086998,9.8,55.1,41.5,18.6,00AJGT,116.4,56.3,34.5,9.4,25.1,0.9
438,Newham - Beckton,15141,55.1,81.9,82.6,21.9932633247474,4.8,54.2,49.7,23.5,00BBGB,121.2,30.9,36.5,6.5,19.2,0.7
439,Brent - Queensbury,15155,73.2,85.1,85.8,20.0857802705378,12.2,72.9,57.7,24.1,00AEGZ,85.0,13.7,15.3,4.2,21.4,1.2
440,Barnet - Totteridge,15159,68.7,80.3,83.0,20.1068672075994,16.8,34.3,37.6,13.7,00ACGP,49.2,57.7,8.7,2.5,13.0,1.3
441,Enfield - Palmers Green,15162,64.8,78.9,83.3,18.8431605329112,13.3,35.4,41.4,18.1,00AKGZ,80.2,15.4,9.0,5.7,20.6,1.0
442,Redbridge - Seven Kings,15164,82.3,78.0,79.7,24.2152466367713,9.2,76.7,47.6,19.3,00BCGR,96.4,30.0,8.2,8.0,18.4,1.0
443,Hounslow - Hounslow Central,15169,81.6,78.5,87.0,18.5312149779155,9.5,70.7,64.5,29.5,00ATGL,213.4,11.1,16.9,3.9,12.8,0.7
444,Hackney - Hoxton,15174,47.7,77.9,84.0,15.862659812837698,6.2,46.5,44.8,16.6,00AMGK,103.8,27.6,54.3,9.4,17.7,0.3
445,Southwark - Chaucer,15178,36.3,88.5,97.5,14.824087495058599,5.2,49.9,45.2,13.3,00BEGF,122.6,5.6,43.3,6.4,11.3,0.4
446,Ealing - Northolt Mandeville,15183,91.7,77.6,85.0,23.506553382072102,10.7,51.7,44.1,19.5,00AJGS,95.4,34.4,24.2,7.8,21.5,0.9
447,Wandsworth - Graveney,15198,63.8,76.9,84.0,17.8707724700618,8.8,46.4,42.4,14.4,00BJGF,105.1,2.6,17.8,5.2,14.7,0.6
448,Lewisham - Catford South,15214,68.9,77.4,81.4,21.4670698041278,11.3,56.2,32.2,7.1,00AZGG,57.0,3.0,12.6,6.5,17.3,0.9
449,Wandsworth - Wandsworth Common,15247,72.8,76.7,79.6,18.6922017446055,8.1,17.8,25.7,4.5,00BJGS,60.6,48.2,12.6,2.1,11.0,1.0
450,Brent - Queens Park,15281,76.3,80.4,87.9,17.983116288201,8.6,37.0,41.9,14.4,00AEGY,115.0,19.1,19.9,6.9,13.3,0.7
451,Barnet - High Barnet,15307,56.5,78.2,82.3,18.455608545110103,16.5,18.3,22.1,6.3,00ACGL,81.9,47.9,7.7,2.9,13.1,1.2
452,Bromley - Orpington,15311,57.0,79.1,84.6,19.1626934883417,21.2,12.6,11.9,2.3,00AFGW,77.6,26.3,15.8,4.8,22.3,1.2
453,Newham - Manor Park,15318,97.6,75.3,79.5,23.5082908995952,7.1,81.5,56.2,27.6,00BBGQ,83.3,26.6,22.5,10.9,20.7,0.7
454,Ealing - Perivale,15339,88.3,82.6,87.0,20.1251711324076,11.0,54.6,55.4,26.7,00AJGW,89.0,38.3,8.5,5.0,17.4,1.1
455,Wandsworth - Latchmere,15358,59.1,73.0,81.5,18.9608021877849,8.5,44.5,39.7,11.5,00BJGG,85.0,12.5,47.0,8.2,17.9,0.4
456,Southwark - Grange,15362,59.7,77.9,81.1,14.106236167165699,6.5,39.1,38.3,10.8,00BEGL,140.5,4.5,45.0,7.6,15.7,0.4
457,Bromley - Copers Cope,15392,61.5,77.4,82.4,13.169178794178801,16.8,17.4,20.3,4.6,00AFGL,69.5,17.1,9.2,3.1,12.1,1.0
458,Ealing - Acton Central,15427,75.1,81.3,90.7,19.66033577494,9.6,40.0,48.3,21.0,00AJGC,100.9,24.2,23.3,6.6,14.3,0.7
459,Bromley - Cray Valley East,15445,70.1,77.6,81.1,22.1819359015863,15.9,14.6,12.3,2.5,00AFGM,115.7,76.4,24.7,6.1,27.9,1.0
460,Wandsworth - Earlsfield,15448,68.1,76.1,84.2,14.9598653547385,6.7,27.7,33.4,8.2,00BJGB,68.0,16.7,21.7,3.1,11.9,0.7
461,Newham - Plaistow North,15470,96.0,75.3,82.2,23.6005171299289,7.1,73.4,52.1,23.6,00BBGR,74.0,10.3,41.7,11.3,23.6,0.5
462,Brent - Preston,15474,100.4,80.1,86.2,20.427814398345603,12.4,70.0,57.3,22.8,00AEGX,86.3,19.1,12.6,4.9,17.5,1.0
463,Wandsworth - Furzedown,15504,74.2,77.2,81.4,22.045923632610897,9.8,43.1,36.7,12.9,00BJGE,54.0,18.8,16.8,6.5,15.5,0.7
464,Brent - Mapesbury,15529,72.6,78.6,86.0,16.066713890141,8.3,43.4,52.3,21.3,00AEGU,97.9,9.7,19.2,7.3,14.5,0.6
465,Hounslow - Feltham West,15541,93.6,77.1,82.7,24.9919567595393,6.3,35.5,32.3,14.2,00ATGE,92.2,41.4,27.2,4.5,20.5,1.0
466,Newham - West Ham,15551,64.1,77.2,80.9,21.5998971127259,7.0,65.5,51.2,22.1,00BBGX,78.6,27.2,40.9,10.9,20.9,0.5
467,Bromley - Clock House,15560,77.7,78.8,84.7,19.7879177377892,11.5,20.6,17.3,3.9,00AFGK,51.4,16.3,12.6,3.7,15.2,1.0
468,Ealing - Hanger Hill,15561,71.1,83.2,88.2,18.9705031810295,12.8,43.1,53.1,23.8,00AJGM,73.2,26.7,4.7,3.3,9.2,1.0
469,Southwark - The Lane,15565,87.8,74.5,83.8,19.8393832316094,9.1,50.7,37.7,8.5,00BEGY,150.3,6.0,41.5,9.7,17.5,0.5
470,Newham - East Ham South,15575,100.0,74.9,80.2,27.8523274478331,7.4,67.7,46.6,19.7,00BBGJ,92.0,23.5,31.1,10.4,24.3,0.7
471,Brent - Willesden Green,15587,54.4,78.2,88.1,19.1634054019375,7.6,52.7,56.3,25.9,00AEHF,127.5,36.8,26.8,8.9,18.5,0.5
472,Lewisham - Sydenham,15605,71.8,75.4,80.3,20.1666132649792,11.9,41.8,30.2,7.1,00AZGU,83.7,13.1,34.7,8.0,18.7,0.7
473,Lewisham - Perry Vale,15618,73.5,76.2,80.8,20.687668075297697,9.6,42.5,30.5,7.2,00AZGS,74.7,9.7,26.5,7.1,16.2,0.7
474,Enfield - Ponders End,15664,61.6,77.6,80.8,25.9001532175689,9.1,54.6,43.5,19.0,00AKHA,93.0,44.5,25.6,13.7,26.9,0.8
475,Waltham Forest - Lea Bridge,15671,107.0,73.2,77.7,23.891264118435302,8.4,64.8,50.4,21.2,00BHGL,127.3,40.1,18.4,11.9,23.0,0.6
476,Greenwich - Abbey Wood,15704,105.3,74.3,81.1,26.853031074885397,9.6,46.3,32.0,7.6,00ALGP,82.9,43.9,38.9,9.0,25.3,0.7
477,Barnet - Finchley Church End,15715,72.1,82.4,86.3,18.7527839643653,16.5,33.1,40.9,14.5,00ACGF,53.5,13.7,4.9,3.4,12.3,1.2
478,Lewisham - New Cross,15756,74.9,73.7,78.2,20.1891342980452,5.9,59.7,46.6,15.3,00AZGR,144.9,16.6,40.5,10.0,17.9,0.5
479,Lambeth - Tulse Hill,15771,63.2,77.4,81.4,21.0259336757339,6.6,52.6,38.6,11.3,00AYGU,95.8,16.6,43.2,11.0,14.7,0.5
480,Brent - Barnhill,15772,79.0,79.6,82.7,20.8787725082425,12.3,69.7,56.5,22.9,00AEGK,83.4,31.6,26.6,6.7,18.1,1.0
481,Croydon - Croham,15790,77.8,78.9,83.3,18.2457251424953,12.0,31.3,24.3,6.5,00AHGL,73.3,19.1,8.3,4.4,12.0,1.0
482,Barnet - Oakleigh,15811,72.5,78.9,84.3,19.1006261463538,16.4,26.7,28.5,8.6,00ACGN,59.6,15.3,7.3,3.7,14.7,1.3
483,Lambeth - Brixton Hill,15842,44.5,74.8,78.4,15.7050877414468,7.0,41.5,37.4,11.1,00AYGA,112.2,13.1,32.2,7.9,13.8,0.5
484,Newham - Green Street East,15885,96.4,81.9,83.0,22.259993704752898,5.7,89.9,62.2,33.2,00BBGM,70.4,2.4,12.8,9.5,20.3,0.6
485,Barnet - Underhill,15915,48.9,78.2,82.6,20.5717876217405,16.2,27.3,25.4,6.9,00ACGQ,64.4,43.7,25.7,5.4,21.6,1.1
486,Newham - East Ham Central,15917,104.2,75.1,81.7,22.453980021360803,7.1,81.9,61.4,29.1,00BBGG,174.4,10.9,15.7,8.4,19.3,0.6
487,Havering - Romford Town,15921,70.0,76.4,81.0,17.6747691727907,14.0,16.4,16.6,5.6,00ARGR,225.4,8.1,13.0,5.0,21.0,0.9
488,Barnet - Garden Suburb,15929,73.5,82.7,87.3,20.3653713353004,16.3,21.4,36.0,10.9,00ACGG,82.1,24.2,4.9,2.0,8.2,7.2
489,Haringey - Seven Sisters,15968,90.7,77.6,89.3,27.041583166332696,7.3,41.2,49.1,22.5,00APGN,95.2,23.4,31.8,10.3,24.4,0.5
490,Newham - Boleyn,15982,89.0,75.6,82.4,24.940558127893897,7.5,78.1,54.8,26.4,00BBGC,109.5,6.1,25.8,9.8,22.4,0.6
491,Tower Hamlets - Limehouse,15986,70.3,77.0,79.3,22.275741273614397,6.2,56.8,43.8,19.7,00BGGD,84.2,23.4,41.2,11.7,21.9,0.5
492,Barnet - East Finchley,15989,67.8,79.3,84.9,18.869222590531002,13.0,28.2,34.4,10.4,00ACGD,69.4,37.8,22.2,4.2,14.1,0.8
493,Newham - Canning Town South,15996,59.8,74.5,85.9,21.0865216304076,7.1,54.5,47.5,19.9,00BBGE,86.2,26.6,36.0,9.2,22.6,0.5
494,Enfield - Enfield Highway,16027,70.6,78.1,86.2,26.255693517189698,10.3,42.2,34.3,14.5,00AKGR,87.8,40.6,24.4,9.6,30.1,1.0
